"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"140",2.368571,2.394286,2.231429,2.295714,54085500,2.295714
"141",2.378571,2.398571,2.284286,2.385714,37554300,2.385714
"142",2.384286,2.561429,2.321429,2.548571,33457200,2.548571
"143",2.551429,2.557143,2.412857,2.442857,20304900,2.442857
"144",2.444286,2.535714,2.427143,2.484286,13633200,2.484286
"145",2.528571,2.528571,2.442857,2.461429,9654400,2.461429
"146",2.464286,2.498571,2.397143,2.451429,14216300,2.451429
"147",2.45,2.477143,2.421429,2.444286,9258900,2.444286
"148",2.457143,2.468571,2.362857,2.367143,8661800,2.367143
"149",2.46,2.46,2.357143,2.422857,11218200,2.422857
"150",2.492857,2.498571,2.421429,2.478571,10384500,2.478571
"151",2.49,2.638571,2.478571,2.567143,12916400,2.567143
"152",2.432857,2.54,2.374286,2.538571,18304300,2.538571
"153",2.557143,2.565714,2.39,2.555714,10725400,2.555714
"154",2.571429,2.585714,2.452857,2.48,6819400,2.48
"155",2.475714,2.551429,2.458571,2.494286,5313000,2.494286
"156",2.504286,2.557143,2.484286,2.491429,5427100,2.491429
"157",2.45,2.571429,2.382857,2.414286,13841100,2.414286
"158",2.564286,2.564286,2.43,2.462857,7107100,2.462857
"159",2.498571,2.498571,2.398571,2.452857,5513200,2.452857
"160",2.478571,2.495714,2.437143,2.471429,3348100,2.471429
"161",2.498571,2.502857,2.447143,2.49,4594100,2.49
"162",2.471429,2.5,2.428571,2.464286,3038700,2.464286
"163",2.455714,2.545714,2.442857,2.542857,6324500,2.542857
"164",2.534286,2.55,2.442857,2.448571,3496500,2.448571
"165",2.451429,2.508571,2.421429,2.425714,4652900,2.425714
"166",2.435714,2.5,2.417143,2.5,3855600,2.5
"167",2.467143,2.498571,2.435714,2.457143,4953900,2.457143
"168",2.478571,2.511429,2.45,2.502857,4745300,2.502857
"169",2.568571,2.674286,2.525714,2.591429,11164300,2.591429
"170",2.58,2.591429,2.514286,2.56,4132800,2.56
"171",2.537143,2.57,2.508571,2.57,7506100,2.57
"172",2.527143,2.58,2.501429,2.577143,6757100,2.577143
"173",2.572857,2.574286,2.464286,2.485714,6353200,2.485714
"174",2.477143,2.548571,2.467143,2.524286,5483100,2.524286
"175",2.514286,2.522857,2.472857,2.48,2705500,2.48
"176",2.471429,2.498571,2.438571,2.477143,4442200,2.477143
"177",2.465714,2.542857,2.452857,2.531429,4784500,2.531429
"178",2.621429,2.664286,2.598571,2.63,10098200,2.63
"179",2.642857,2.771429,2.628571,2.747143,6933500,2.747143
"180",2.785714,2.81,2.751429,2.805714,8152900,2.805714
"181",2.742857,2.792857,2.734286,2.782857,7499100,2.782857
"182",2.821429,2.821429,2.677143,2.741429,15879500,2.741429
"183",2.742857,2.794286,2.728571,2.755714,6366500,2.755714
"184",2.757143,3.008571,2.754286,3.001429,18057900,3.001429
"185",3,3.157143,2.995714,3.134286,15875300,3.134286
"186",3.111429,3.121429,3.001429,3.051429,11898600,3.051429
"187",3.057143,3.085714,2.95,2.964286,8662500,2.964286
"188",2.957143,3.057143,2.941429,3.031429,9528400,3.031429
"189",3.035714,3.047143,2.965714,3.028571,4522700,3.028571
"190",3.002857,3.04,2.971429,3.011429,3612700,3.011429
"191",2.982857,3.038571,2.967143,3.02,4897900,3.02
"192",3.032857,3.174286,3.028571,3.142857,6549200,3.142857
"193",3.11,3.188571,3.085714,3.181429,3205300,3.181429
"194",3.178571,3.285714,3.167143,3.255714,8563100,3.255714
"195",3.238571,3.381429,3.218571,3.345714,10534300,3.345714
"196",3.344286,3.431429,3.232857,3.272857,10007900,3.272857
"197",3.264286,3.334286,3.255714,3.285714,4230800,3.285714
"198",3.414286,3.5,3.37,3.422857,11533200,3.422857
"199",3.464286,3.464286,3.378571,3.424286,6300000,3.424286
"200",3.4,3.471429,3.377143,3.468571,4249700,3.468571
"201",3.415714,3.471429,3.38,3.432857,7929600,3.432857
"202",3.47,3.47,3.228571,3.32,11195100,3.32
"203",3.25,3.324286,3.157143,3.287143,21315000,3.287143
"204",3.684286,3.742857,3.502857,3.712857,38485300,3.712857
"205",3.612857,3.625714,3.465714,3.607143,13043100,3.607143
"206",3.588571,3.69,3.584286,3.618571,9669100,3.618571
"207",3.65,3.671429,3.517143,3.602857,10921400,3.602857
"208",3.677143,3.782857,3.642857,3.767143,7771400,3.767143
"209",3.734286,3.8,3.675714,3.777143,12056800,3.777143
"210",3.782857,3.787143,3.682857,3.781429,10792600,3.781429
"211",3.781429,3.811429,3.642857,3.755714,10406200,3.755714
"212",3.721429,3.771429,3.714286,3.751429,8920100,3.751429
"213",3.721429,3.857143,3.717143,3.787143,7676900,3.787143
"214",3.777143,3.898571,3.758571,3.89,7774200,3.89
"215",3.842857,3.91,3.762857,3.84,7448000,3.84
"216",3.82,3.93,3.724286,3.884286,10652600,3.884286
"217",3.832857,3.838571,3.518571,3.607143,13925100,3.607143
"218",3.592857,3.637143,3.485714,3.501429,9178400,3.501429
"219",3.514286,3.63,3.501429,3.63,6433000,3.63
"220",3.655714,3.657143,3.531429,3.548571,7147000,3.548571
"221",3.531429,3.548571,3.417143,3.437143,6981100,3.437143
"222",3.434286,3.47,3.25,3.4,11610900,3.4
"223",3.367143,3.428571,3.28,3.315714,6818000,3.315714
"224",3.275714,3.311429,3.164286,3.232857,11195800,3.232857
"225",3.217143,3.224286,3.074286,3.078571,10418800,3.078571
"226",3.104286,3.128571,3.037143,3.107143,6153000,3.107143
"227",3.107143,3.17,3.061429,3.067143,6465900,3.067143
"228",3.087143,3.192857,3.071429,3.191429,6707400,3.191429
"229",3.214286,3.32,3.2,3.287143,9417800,3.287143
"230",3.26,3.361429,3.26,3.302857,6612900,3.302857
"231",3.364286,3.42,3.224286,3.3,8799700,3.3
"232",3.428571,3.542857,3.367143,3.397143,9137800,3.397143
"233",3.397143,3.417143,3.292857,3.392857,5681200,3.392857
"234",3.331429,3.422857,3.292857,3.418571,10406200,3.418571
"235",3.354286,3.414286,3.331429,3.414286,6832000,3.414286
"236",3.412857,3.418571,3.348571,3.367143,5803700,3.367143
"237",3.37,3.387143,3.348571,3.355714,4284700,3.355714
"238",3.357143,3.414286,3.3,3.328571,6779500,3.328571
"239",3.392857,3.42,3.268571,3.308571,5343100,3.308571
"240",3.27,3.291429,3.215714,3.291429,5160400,3.291429
"241",3.28,3.405714,3.218571,3.36,9684500,3.36
"242",3.33,3.375714,3.287143,3.3,3688300,3.3
"243",3.324286,3.467143,3.281429,3.454286,4935000,3.454286
"244",3.44,3.558571,3.408571,3.552857,6424600,3.552857
"245",3.574286,3.928571,3.522857,3.891429,22400000,3.891429
"246",3.984286,4.162857,3.958571,4.014286,25501000,4.014286
"247",4.014286,4.088571,3.958571,3.987143,3864000,3.987143
"248",3.958571,4.145714,3.958571,4.1,6311900,4.1
"249",4,4.034286,3.857143,3.921429,11615800,3.921429
"250",3.921429,3.958571,3.755714,3.847143,7536900,3.847143
"251",3.85,3.897143,3.701429,3.802857,10415300,3.802857
"252",3.794286,3.892857,3.662857,3.764286,12527900,3.764286
"253",3.991429,4.042857,3.664286,3.724286,21340200,3.724286
"254",3.72,3.795714,3.478571,3.515714,17202500,3.515714
"255",3.53,3.564286,3.385714,3.554286,12693800,3.554286
"256",3.542857,3.552857,3.247143,3.328571,14490000,3.328571
"257",3.315714,3.357143,3.097143,3.285714,15200500,3.285714
"258",3.234286,3.571429,3.181429,3.528571,13379100,3.528571
"259",3.5,3.521429,3.344286,3.344286,8981700,3.344286
"260",3.408571,3.492857,3.247143,3.252857,16165800,3.252857
"261",3.231429,3.307143,2.958571,3.15,37895200,3.15
"262",3.078571,3.222857,3,3.152857,17956400,3.152857
"263",3.131429,3.227143,3.087143,3.11,11844000,3.11
"264",3.115714,3.238571,3.078571,3.121429,12496400,3.121429
"265",3.032857,3.247143,2.907143,3.175714,14127400,3.175714
"266",3.15,3.4,3,3.394286,29370600,3.394286
"267",3.377143,3.392857,3.067143,3.134286,38927000,3.134286
"268",3.182857,3.244286,3.017143,3.11,19865300,3.11
"269",3.162857,3.285714,3.08,3.284286,11650100,3.284286
"270",3.295714,3.322857,3.24,3.308571,7082600,3.308571
"271",3.338571,3.358571,3.221429,3.277143,9307200,3.277143
"272",3.221429,3.621429,3.158571,3.592857,23223900,3.592857
"273",3.544286,3.657143,3.51,3.627143,12623100,3.627143
"274",3.627143,3.737143,3.612857,3.698571,11883900,3.698571
"275",3.64,3.678571,3.544286,3.608571,8945300,3.608571
"276",3.685714,3.842857,3.627143,3.717143,15107400,3.717143
"277",3.658571,3.84,3.658571,3.835714,16767100,3.835714
"278",3.778571,3.857143,3.718571,3.84,10850700,3.84
"279",3.851429,3.864286,3.82,3.841429,9594900,3.841429
"280",3.855714,3.895714,3.787143,3.842857,7427700,3.842857
"281",3.867143,3.907143,3.81,3.901429,7099400,3.901429
"282",3.845714,3.88,3.761429,3.821429,6273400,3.821429
"283",3.792857,3.824286,3.722857,3.8,6734700,3.8
"284",3.761429,3.942857,3.682857,3.827143,9839200,3.827143
"285",3.781429,3.972857,3.751429,3.924286,12815600,3.924286
"286",3.928571,3.998571,3.904286,3.981429,7112000,3.981429
"287",3.957143,3.998571,3.91,3.971429,5740000,3.971429
"288",3.958571,4.028571,3.957143,4,6801900,4
"289",3.972857,4.214286,3.972857,4.142857,16592100,4.142857
"290",4.37,4.648571,4.285714,4.632857,41283200,4.632857
"291",4.517143,4.901429,4.5,4.505714,35182700,4.505714
"292",4.547143,4.571429,4.302857,4.511429,16774800,4.511429
"293",4.535714,4.568571,4.377143,4.42,12994800,4.42
"294",4.365714,4.51,4.331429,4.502857,8935500,4.502857
"295",4.525714,4.658571,4.484286,4.585714,12135900,4.585714
"296",4.522857,4.547143,4.374286,4.374286,9050300,4.374286
"297",4.36,4.534286,4.307143,4.465714,10600800,4.465714
"298",4.571429,4.775714,4.5,4.744286,14315000,4.744286
"299",4.785714,4.885714,4.607143,4.725714,17990000,4.725714
"300",4.735714,4.928571,4.735714,4.862857,15894200,4.862857
"301",4.794286,4.904286,4.65,4.887143,10045000,4.887143
"302",4.907143,4.928571,4.694286,4.751429,7955500,4.751429
"303",4.687143,4.814286,4.618571,4.712857,9300900,4.712857
"304",4.822857,5,4.782857,5,12412400,5
"305",4.998571,5.147143,4.945714,4.981429,13099800,4.981429
"306",5.428571,5.428571,5.108571,5.177143,23524200,5.177143
"307",5.334286,5.664286,5.262857,5.452857,16856000,5.452857
"308",5.491429,5.521429,5.265714,5.302857,12001500,5.302857
"309",5.285714,5.415714,5.185714,5.408571,10948700,5.408571
"310",5.317143,5.344286,5.02,5.194286,12809300,5.194286
"311",5.191429,5.338571,5.041429,5.084286,9209900,5.084286
"312",5.167143,5.192857,4.84,4.95,14527800,4.95
"313",5.071429,5.271429,4.914286,5.215714,16173500,5.215714
"314",5.164286,5.285714,5.105714,5.192857,9599100,5.192857
"315",5.114286,5.448571,5.107143,5.332857,8990100,5.332857
"316",5.357143,5.357143,5.131429,5.172857,6877500,5.172857
"317",5.231429,5.231429,5.034286,5.128571,5357800,5.128571
"318",5.215714,5.294286,5.058571,5.271429,6457500,5.271429
"319",5.298571,5.298571,5.147143,5.202857,7982800,5.202857
"320",5.151429,5.29,5.118571,5.224286,5525800,5.224286
"321",5.178571,5.22,5.015714,5.072857,7887600,5.072857
"322",5.142857,5.198571,5.064286,5.111429,6811000,5.111429
"323",5.142857,5.211429,5.08,5.211429,5721100,5.211429
"324",5.261429,5.587143,5.217143,5.567143,15433600,5.567143
"325",5.557143,5.84,5.485714,5.814286,23908500,5.814286
"326",5.818571,5.842857,5.472857,5.508571,14841400,5.508571
"327",5.508571,5.804286,5.508571,5.617143,22172500,5.617143
"328",4.815714,4.821429,4.207143,4.285714,73231900,4.285714
"329",4.302857,4.5,4.242857,4.465714,20147400,4.465714
"330",4.437143,4.75,4.43,4.717143,13801200,4.717143
"331",4.738571,4.857143,4.714286,4.851429,10159100,4.851429
"332",4.74,4.792857,4.657143,4.722857,10395700,4.722857
"333",4.664286,4.705714,4.55,4.597143,7233100,4.597143
"334",4.574286,4.631429,4.455714,4.568571,10906000,4.568571
"335",4.524286,4.568571,4.334286,4.428571,17323600,4.428571
"336",4.437143,4.492857,4.374286,4.442857,7703500,4.442857
"337",4.464286,4.525714,4.371429,4.428571,8323000,4.428571
"338",4.414286,4.431429,4.351429,4.42,4996600,4.42
"339",4.385714,4.455714,4.285714,4.308571,6707400,4.308571
"340",4.33,4.398571,4.247143,4.307143,9996700,4.307143
"341",4.287143,4.391429,4.285714,4.388571,4894400,4.388571
"342",4.385714,4.53,4.357143,4.387143,10579100,4.387143
"343",4.375714,4.402857,4.3,4.38,6391000,4.38
"344",4.38,4.442857,4.321429,4.342857,7686000,4.342857
"345",4.318571,4.352857,4.222857,4.275714,15273300,4.275714
"346",4.312857,4.56,4.287143,4.522857,14801500,4.522857
"347",4.505714,4.635714,4.38,4.425714,8920100,4.425714
"348",4.695714,4.907143,4.471429,4.518571,31366300,4.518571
"349",4.597143,4.642857,4.505714,4.527143,13125700,4.527143
"350",4.508571,4.544286,4.407143,4.53,9313500,4.53
"351",4.507143,4.521429,4.302857,4.458571,9688700,4.458571
"352",4.46,4.575714,4.431429,4.575714,5602100,4.575714
"353",4.574286,4.628571,4.421429,4.445714,13036100,4.445714
"354",4.32,4.445714,4.258571,4.335714,15862700,4.335714
"355",4.351429,4.408571,4.301429,4.337143,8871100,4.337143
"356",4.334286,4.421429,4.334286,4.412857,7801500,4.412857
"357",4.428571,4.58,4.428571,4.552857,9543800,4.552857
"358",4.524286,4.64,4.502857,4.624286,6671700,4.624286
"359",4.608571,4.857143,4.551429,4.738571,10714900,4.738571
"360",4.691429,4.691429,4.535714,4.545714,6703900,4.545714
"361",4.545714,4.571429,4.341429,4.447143,6885200,4.447143
"362",4.392857,4.478571,4.348571,4.375714,4574500,4.375714
"363",4.364286,4.448571,4.314286,4.318571,5012000,4.318571
"364",4.324286,4.482857,4.324286,4.43,4397400,4.43
"365",4.48,4.61,4.475714,4.602857,4724300,4.602857
"366",4.571429,4.582857,4.491429,4.56,3552500,4.56
"367",4.564286,4.564286,4.468571,4.471429,3051300,4.471429
"368",4.444286,4.454286,4.285714,4.311429,6950300,4.311429
"369",4.288571,4.598571,4.252857,4.585714,8460900,4.585714
"370",4.608571,4.608571,4.415714,4.485714,7775600,4.485714
"371",4.5,4.501429,4.218571,4.23,9176300,4.23
"372",4.248571,4.321429,4.08,4.142857,10761100,4.142857
"373",4.164286,4.268571,4.144286,4.228571,6297900,4.228571
"374",4.214286,4.248571,4.097143,4.111429,8674400,4.111429
"375",4.102857,4.102857,3.758571,3.82,14755300,3.82
"376",3.787143,3.857143,3.72,3.724286,8149400,3.724286
"377",3.828571,3.938571,3.777143,3.871429,17619700,3.871429
"378",3.858571,3.902857,3.814286,3.892857,13204800,3.892857
"379",3.857143,3.97,3.844286,3.897143,10806600,3.897143
"380",3.928571,4.055714,3.907143,4.035714,11434500,4.035714
"381",4.048571,4.09,3.951429,4.058571,10042900,4.058571
"382",4.058571,4.15,4.058571,4.088571,10674300,4.088571
"383",4.067143,4.122857,3.934286,3.978571,8330700,3.978571
"384",3.931429,3.977143,3.77,3.887143,8615600,3.887143
"385",3.901429,4.045714,3.842857,3.972857,17445400,3.972857
"386",3.944286,4.031429,3.871429,3.958571,12454400,3.958571
"387",3.922857,4.044286,3.922857,4.015714,9185400,4.015714
"388",3.995714,4.03,3.842857,3.968571,9594900,3.968571
"389",3.972857,3.992857,3.847143,3.871429,9723000,3.871429
"390",3.861429,3.921429,3.831429,3.907143,8987300,3.907143
"391",3.908571,3.955714,3.86,3.888571,16783200,3.888571
"392",3.884286,4.028571,3.884286,3.997143,10553900,3.997143
"393",3.947143,3.962857,3.81,3.818571,12923400,3.818571
"394",4.055714,4.115714,3.832857,3.978571,27176100,3.978571
"395",4,4.137143,3.972857,4.09,13051500,4.09
"396",4.127143,4.448571,4.105714,4.434286,19681200,4.434286
"397",4.421429,4.481429,4.302857,4.361429,9216900,4.361429
"398",4.34,4.474286,4.325714,4.412857,14311500,4.412857
"399",4.364286,4.385714,4.12,4.174286,17635800,4.174286
"400",4.237143,4.301429,4.228571,4.261429,11844000,4.261429
"401",4.327143,4.327143,4.214286,4.27,8262800,4.27
"402",4.254286,4.322857,4.24,4.285714,7778400,4.285714
"403",4.235714,4.408571,4.235714,4.351429,10118500,4.351429
"404",4.357143,4.517143,4.357143,4.435714,9188200,4.435714
"405",4.405714,4.627143,4.388571,4.6,14011200,4.6
"406",4.618571,4.618571,4.355714,4.401429,8773800,4.401429
"407",4.382857,4.451429,4.324286,4.451429,9330300,4.451429
"408",4.414286,4.594286,4.372857,4.548571,13657000,4.548571
"409",4.575714,4.652857,4.434286,4.465714,9751000,4.465714
"410",4.475714,4.495714,4.342857,4.37,7690900,4.37
"411",4.347143,4.377143,4.272857,4.301429,6036800,4.301429
"412",4.308571,4.384286,4.272857,4.36,5107200,4.36
"413",4.278571,4.348571,4.271429,4.285714,5387200,4.285714
"414",4.3,4.397143,4.288571,4.378571,5344500,4.378571
"415",4.348571,4.375714,4.267143,4.277143,5709900,4.277143
"416",4.274286,4.357143,4.262857,4.298571,10262700,4.298571
"417",4.272857,4.428571,4.268571,4.377143,6292300,4.377143
"418",4.334286,4.497143,4.334286,4.445714,8675800,4.445714
"419",4.448571,4.491429,4.364286,4.405714,4333700,4.405714
"420",4.452857,4.571429,4.361429,4.405714,8938300,4.405714
"421",4.44,4.53,4.38,4.415714,5409600,4.415714
"422",4.377143,4.471429,4.235714,4.267143,13195000,4.267143
"423",4.205714,4.261429,4.075714,4.237143,10923500,4.237143
"424",4.31,4.401429,4.227143,4.307143,11142600,4.307143
"425",4.297143,4.342857,4.104286,4.105714,9315600,4.105714
"426",4.145714,4.164286,4.062857,4.107143,8769600,4.107143
"427",4.025714,4.144286,3.94,4.118571,8371300,4.118571
"428",4.047143,4.242857,4.045714,4.207143,7381500,4.207143
"429",4.168571,4.311429,3.997143,4.015714,6594000,4.015714
"430",3.962857,4.107143,3.924286,4.065714,10801700,4.065714
"431",4.045714,4.257143,4,4.122857,11447800,4.122857
"432",4.08,4.454286,4.08,4.434286,18216800,4.434286
"433",4.571429,4.852857,4.411429,4.562857,14959000,4.562857
"434",4.485714,4.6,4.44,4.53,6972000,4.53
"435",4.548571,4.642857,4.472857,4.504286,5840800,4.504286
"436",4.501429,4.631429,4.364286,4.538571,5910100,4.538571
"437",4.555714,4.728571,4.472857,4.71,6216700,4.71
"438",4.608571,4.705714,4.501429,4.695714,3914400,4.695714
"439",4.617143,4.701429,4.442857,4.514286,8029000,4.514286
"440",4.574286,4.641429,4.254286,4.411429,10700200,4.411429
"441",4.332857,4.381429,4.225714,4.291429,6501600,4.291429
"442",4.257143,4.285714,4.044286,4.185714,5233200,4.185714
"443",4.172857,4.428571,4.1,4.138571,5013400,4.138571
